Date,sitename,Year,GCC,RCC,NDVI,NIRv
02/06/2017,Main,2017,0.334022905,0.452728968,0.409385274,0.039433945
03/06/2017,Main,2017,0.331763265,0.452634825,0.398410649,0.043027385
04/06/2017,Main,2017,0.329686199,0.449043772,0.397644731,0.037677147
05/06/2017,Main,2017,0.328394985,0.445550544,0.325230699,0.028887265
06/06/2017,Main,2017,0.327884942,0.44436586,0.321682354,0.021843006
07/06/2017,Main,2017,0.327293113,0.452286558,0.321682354,0.02409049
08/06/2017,Main,2017,0.32683041,0.452286558,0.314236989,0.025674904
09/06/2017,Main,2017,0.326533102,0.452286558,0.307072831,0.025674904
10/06/2017,Main,2017,0.326022262,0.452831763,0.308607701,0.022966096
11/06/2017,Main,2017,0.325864777,0.453314584,0.32195567,0.025751832
12/06/2017,Main,2017,0.325408179,0.455682164,0.300391868,0.0287313
13/06/2017,Main,2017,0.325222398,0.455740997,0.273199262,0.028380017
14/06/2017,Main,2017,0.324209824,0.455856665,0.266519865,0.031206546
15/06/2017,Main,2017,0.32317662,0.454776933,0.256267651,0.023633169
16/06/2017,Main,2017,0.323042338,0.461737073,0.262603628,0.024569349
17/06/2017,Main,2017,0.323120239,0.46075438,0.261776993,0.025505528
18/06/2017,Main,2017,0.323084081,0.460328612,0.25764382,0.029016705
19/06/2017,Main,2017,0.323084081,0.462144771,0.261971089,0.031312761
20/06/2017,Main,2017,0.322723002,0.462727808,0.278766261,0.022554876
21/06/2017,Main,2017,0.321728789,0.466013491,0.279582341,0.022434333
22/06/2017,Main,2017,0.321649727,0.466013491,0.278564725,0.022293743
23/06/2017,Main,2017,0.321649727,0.465875739,0.258694445,0.028133846
24/06/2017,Main,2017,0.322087476,0.464222184,0.258566784,0.0311815
25/06/2017,Main,2017,0.322087476,0.464222184,0.263061367,0.030780577
26/06/2017,Main,2017,0.322056746,0.464086344,0.335248037,0.031750187
27/06/2017,Main,2017,0.321021871,0.462736493,0.407434708,0.039195006
28/06/2017,Main,2017,0.32219583,0.463062786,0.368588301,0.039195006
29/06/2017,Main,2017,0.322953681,0.462651769,0.329741893,0.037241044
30/06/2017,Main,2017,0.322445526,0.456333607,0.26398878,0.035542782
01/07/2017,Main,2017,0.321747581,0.455446259,0.264375229,0.028701586
02/07/2017,Main,2017,0.321606993,0.456021018,0.283006201,0.022574487
03/07/2017,Main,2017,0.321606993,0.456409982,0.256252795,0.021613335
04/07/2017,Main,2017,0.321850345,0.460162826,0.255063231,0.027819062
05/07/2017,Main,2017,0.322173625,0.468236207,0.254588918,0.03544223
06/07/2017,Main,2017,0.323293516,0.468555002,0.251388233,0.037592804
07/07/2017,Main,2017,0.323149974,0.468023677,0.387360283,0.037331629
08/07/2017,Main,2017,0.323101588,0.459135018,0.350243192,0.031859532
09/07/2017,Main,2017,0.32306682,0.453115878,0.295831377,0.027471252
10/07/2017,Main,2017,0.323557273,0.451295128,0.241419561,0.027471252
11/07/2017,Main,2017,0.32357638,0.448262612,0.241419561,0.027471252
12/07/2017,Main,2017,0.323679611,0.454547732,0.239989832,0.028968339
13/07/2017,Main,2017,0.323563716,0.454547732,0.243993766,0.028639873
14/07/2017,Main,2017,0.323558743,0.454547732,0.287692016,0.028639873
15/07/2017,Main,2017,0.323506303,0.452508817,0.275723993,0.026988732
16/07/2017,Main,2017,0.323510184,0.457666241,0.26375597,0.027040734
17/07/2017,Main,2017,0.323456709,0.457759167,0.257770244,0.028298026
18/07/2017,Main,2017,0.323408759,0.457759167,0.233866824,0.03102047
19/07/2017,Main,2017,0.323436323,0.4531998,0.257770244,0.03102047
20/07/2017,Main,2017,0.323451294,0.443631468,0.22794282,0.024378132
21/07/2017,Main,2017,0.323411487,0.4436884,0.22794282,0.022916682
22/07/2017,Main,2017,0.323431358,0.443491152,0.225091261,0.02434917
23/07/2017,Main,2017,0.323498539,0.44369514,0.224435463,0.024114943
24/07/2017,Main,2017,0.323743158,0.443236152,0.221280998,0.023926235
25/07/2017,Main,2017,0.323927571,0.442849525,0.220865561,0.020415191
26/07/2017,Main,2017,0.323925175,0.446797904,0.215821787,0.022245856
27/07/2017,Main,2017,0.323913871,0.446797904,0.216027408,0.022026764
28/07/2017,Main,2017,0.323484837,0.446797904,0.19176552,0.022567179
29/07/2017,Main,2017,0.323410262,0.446887575,0.193097826,0.028945779
30/07/2017,Main,2017,0.323478335,0.447964619,0.206197787,0.036069233
31/07/2017,Main,2017,0.323514917,0.448029217,0.296780497,0.034868016
01/08/2017,Main,2017,0.3235672,0.44425849,0.220629397,0.029473425
02/08/2017,Main,2017,0.323622147,0.441268207,0.220442178,0.021723277
03/08/2017,Main,2017,0.323653902,0.441368222,0.186528117,0.019830595
04/08/2017,Main,2017,0.323697283,0.441676226,0.182418769,0.02008734
05/08/2017,Main,2017,0.323674629,0.441719722,0.182418769,0.020856331
06/08/2017,Main,2017,0.323532815,0.445322208,0.180796096,0.022474738
07/08/2017,Main,2017,0.323359528,0.445322208,0.220120976,0.023796437
08/08/2017,Main,2017,0.323128688,0.445353591,0.220862166,0.029573853
09/08/2017,Main,2017,0.32320621,0.442099005,0.19251344,0.025039319
10/08/2017,Main,2017,0.323267974,0.441784481,0.177561076,0.02315262
11/08/2017,Main,2017,0.323316573,0.440931388,0.177213473,0.023876196
12/08/2017,Main,2017,0.323591358,0.444948404,0.184215529,0.023934514
13/08/2017,Main,2017,0.323641754,0.44553946,0.218721392,0.029230756
14/08/2017,Main,2017,0.323481495,0.45264005,0.221409626,0.030114649
15/08/2017,Main,2017,0.323268484,0.45264005,0.201692871,0.028698202
16/08/2017,Main,2017,0.322992491,0.452794884,0.18121865,0.02895421
17/08/2017,Main,2017,0.323241817,0.447530782,0.167015177,0.026920276
18/08/2017,Main,2017,0.323388612,0.447081123,0.187621682,0.027541697
19/08/2017,Main,2017,0.323538802,0.446414634,0.165692951,0.022327786
20/08/2017,Main,2017,0.323499403,0.447069831,0.182749055,0.021684299
21/08/2017,Main,2017,0.323386489,0.448142219,0.164786534,0.021937639
22/08/2017,Main,2017,0.323147528,0.454456861,0.18387169,0.023833444
23/08/2017,Main,2017,0.322887254,0.454541732,0.198882864,0.02408655
24/08/2017,Main,2017,0.322566088,0.454541732,0.218189712,0.024004584
25/08/2017,Main,2017,0.322685174,0.451022546,0.20687376,0.028586479
26/08/2017,Main,2017,0.32306153,0.450476677,0.21436305,0.031569323
27/08/2017,Main,2017,0.323606605,0.453516724,0.224721141,0.037495208
28/08/2017,Main,2017,0.323611514,0.453552443,0.252208757,0.035339667
29/08/2017,Main,2017,0.323084864,0.453498641,0.240732353,0.034683979
30/08/2017,Main,2017,0.322630093,0.448542046,0.223839224,0.028905309
31/08/2017,Main,2017,0.322800345,0.444444919,0.194231804,0.025736709
01/09/2017,Main,2017,0.322862889,0.444401281,0.200626712,0.025719415
02/09/2017,Main,2017,0.323011171,0.442410964,0.218889785,0.025774024
03/09/2017,Main,2017,0.323054237,0.442863711,0.241900839,0.025710297
04/09/2017,Main,2017,0.323251792,0.443508909,0.241770856,0.026589714
05/09/2017,Main,2017,0.323800438,0.442044171,0.186865549,0.037600559
06/09/2017,Main,2017,0.32377522,0.448600552,0.189630687,0.041581898
07/09/2017,Main,2017,0.323758106,0.447691834,0.198781766,0.034709572
08/09/2017,Main,2017,0.323803342,0.448111123,0.199294592,0.029198577
09/09/2017,Main,2017,0.323821686,0.446658582,0.198229076,0.028181787
10/09/2017,Main,2017,0.323971081,0.435718925,0.144937468,0.027260543
11/09/2017,Main,2017,0.323894011,0.43386872,0.097181054,0.02352199
12/09/2017,Main,2017,0.323573706,0.432018516,0.093078991,0.017812183
13/09/2017,Main,2017,0.323125808,0.432333382,0.088976929,0.017828885
14/09/2017,Main,2017,0.322665962,0.432648249,0.084874866,0.017845588
15/09/2017,Main,2017,0.322309811,0.432963116,0.092417403,0.01786229
16/09/2017,Main,2017,0.322172998,0.43759861,0.09995994,0.017878993
17/09/2017,Main,2017,0.322371168,0.440920786,0.120316695,0.017895695
18/09/2017,Main,2017,0.322876552,0.441989836,0.141963099,0.029683994
19/09/2017,Main,2017,0.32318881,0.441930675,0.165072383,0.028413334
20/09/2017,Main,2017,0.323190114,0.441930675,0.166078365,0.028413334
21/09/2017,Main,2017,0.323213978,0.437727101,0.201222382,0.02627356
22/09/2017,Main,2017,0.323233242,0.437485515,0.187185493,0.023841992
23/09/2017,Main,2017,0.323281776,0.438054982,0.188219845,0.024289651
24/09/2017,Main,2017,0.3233256,0.437768686,0.205885248,0.024982777
25/09/2017,Main,2017,0.32344736,0.437732948,0.192087343,0.026833158
26/09/2017,Main,2017,0.32340496,0.437969612,0.17824526,0.031708293
27/09/2017,Main,2017,0.323328516,0.440906547,0.173048084,0.031813521
28/09/2017,Main,2017,0.322977671,0.44331286,0.226923476,0.031828801
29/09/2017,Main,2017,0.323123531,0.439538229,0.244510546,0.028291804
30/09/2017,Main,2017,0.323490212,0.441261133,0.240586248,0.02839965
01/10/2017,Main,2017,0.323980184,0.440767949,0.235077958,0.027244995
02/10/2017,Main,2017,0.324039643,0.440850459,0.231905018,0.027141834
03/10/2017,Main,2017,0.323993975,0.438916659,0.189405038,0.028772441
